Date : 2025-03-22 14:56:12
Directory : d:\Users\normalpcer\Documents\sync_code
Total : 683 files,  80556 codes, 7696 comments, 9669 blanks, all 97921 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C++                |        555 |     67,713 |      6,741 |      7,634 |     82,088 |
| Markdown           |         32 |      3,692 |          0 |      1,315 |      5,007 |
| JSON               |         26 |      2,885 |          0 |          1 |      2,886 |
| Python             |         34 |      2,251 |        103 |        449 |      2,803 |
| JavaScript         |         16 |      2,228 |        448 |         77 |      2,753 |
| TypeScript         |         10 |      1,144 |        228 |        109 |      1,481 |
| C                  |          2 |        487 |         53 |         54 |        594 |
| Stylus             |          1 |         54 |         27 |         11 |         92 |
| JSON with Comments |          2 |         39 |         95 |          9 |        143 |
| Rust               |          2 |         32 |          1 |          8 |         41 |
| YAML               |          1 |         16 |          0 |          1 |         17 |
| Batch              |          2 |         15 |          0 |          1 |         16 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                           | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                              |        683 |     80,556 |      7,696 |      9,669 |     97,921 |
| . (Files)                                                                                                                                      |        547 |     72,928 |      7,069 |      8,522 |     88,519 |
| .github                                                                                                                                        |          1 |         16 |          0 |          1 |         17 |
| .github\workflows                                                                                                                              |          1 |         16 |          0 |          1 |         17 |
| .vs                                                                                                                                            |          3 |         51 |          0 |          0 |         51 |
| .vs (Files)                                                                                                                                    |          2 |         10 |          0 |          0 |         10 |
| .vs\sync_code                                                                                                                                  |          1 |         41 |          0 |          0 |         41 |
| .vs\sync_code\v17                                                                                                                              |          1 |         41 |          0 |          0 |         41 |
| 20241112                                                                                                                                       |         11 |        567 |         33 |         84 |        684 |
| 20241112 (Files)                                                                                                                               |          1 |         35 |          0 |          7 |         42 |
| 20241112\fight                                                                                                                                 |          3 |        136 |          2 |         21 |        159 |
| 20241112\game                                                                                                                                  |          2 |         77 |          0 |         13 |         90 |
| 20241112\internet                                                                                                                              |          2 |        129 |          2 |         15 |        146 |
| 20241112\trans                                                                                                                                 |          3 |        190 |         29 |         28 |        247 |
| 20241119                                                                                                                                       |          8 |        269 |         12 |         55 |        336 |
| 20241119 (Files)                                                                                                                               |          1 |         11 |          0 |          3 |         14 |
| 20241119\T1                                                                                                                                    |          3 |        132 |          7 |         26 |        165 |
| 20241119\T2                                                                                                                                    |          2 |         58 |          2 |         12 |         72 |
| 20241119\T3                                                                                                                                    |          2 |         68 |          3 |         14 |         85 |
| 20241121                                                                                                                                       |          8 |        304 |         12 |         59 |        375 |
| 20241121 (Files)                                                                                                                               |          1 |         19 |          0 |          4 |         23 |
| 20241121\subseq                                                                                                                                |          2 |         76 |          3 |         13 |         92 |
| 20241121\subseq3                                                                                                                               |          2 |        104 |          4 |         19 |        127 |
| 20241121\tree                                                                                                                                  |          2 |         85 |          5 |         20 |        110 |
| 20241121\triring                                                                                                                               |          1 |         20 |          0 |          3 |         23 |
| 20241127                                                                                                                                       |          7 |        433 |          9 |         92 |        534 |
| 20241127 (Files)                                                                                                                               |          1 |         23 |          0 |          6 |         29 |
| 20241127\A                                                                                                                                     |          2 |        104 |          0 |         25 |        129 |
| 20241127\B                                                                                                                                     |          2 |        182 |          6 |         37 |        225 |
| 20241127\C                                                                                                                                     |          2 |        124 |          3 |         24 |        151 |
| 20241128                                                                                                                                       |          8 |        379 |         14 |        104 |        497 |
| 20241128 (Files)                                                                                                                               |          1 |         29 |          0 |         10 |         39 |
| 20241128\control                                                                                                                               |          2 |        144 |         11 |         36 |        191 |
| 20241128\lcm                                                                                                                                   |          2 |         92 |          2 |         27 |        121 |
| 20241128\plan                                                                                                                                  |          3 |        114 |          1 |         31 |        146 |
| 20250222                                                                                                                                       |         13 |        500 |         68 |         88 |        656 |
| 20250222 (Files)                                                                                                                               |          1 |         17 |          0 |          4 |         21 |
| 20250222\edit                                                                                                                                  |          2 |         73 |         14 |         15 |        102 |
| 20250222\gcd                                                                                                                                   |          5 |        273 |         36 |         42 |        351 |
| 20250222\split                                                                                                                                 |          2 |         47 |          4 |          8 |         59 |
| 20250222\xorsum                                                                                                                                |          3 |         90 |         14 |         19 |        123 |
| 20250314                                                                                                                                       |          4 |        277 |         68 |         37 |        382 |
| 20250314\T1                                                                                                                                    |          1 |         73 |         23 |          9 |        105 |
| 20250314\T2                                                                                                                                    |          1 |         87 |          8 |         12 |        107 |
| 20250314\T3                                                                                                                                    |          1 |         67 |         31 |          8 |        106 |
| 20250314\T4                                                                                                                                    |          1 |         50 |          6 |          8 |         64 |
| 20250322                                                                                                                                       |          5 |        245 |         37 |         50 |        332 |
| 20250322 (Files)                                                                                                                               |          1 |         21 |          0 |          7 |         28 |
| 20250322\T1                                                                                                                                    |          1 |         30 |         11 |          9 |         50 |
| 20250322\T2                                                                                                                                    |          1 |         79 |         24 |         16 |        119 |
| 20250322\T3                                                                                                                                    |          1 |         58 |          2 |         10 |         70 |
| 20250322\T4                                                                                                                                    |          1 |         57 |          0 |          8 |         65 |
| Data                                                                                                                                           |          1 |        278 |          0 |        195 |        473 |
| _posts                                                                                                                                         |          1 |        278 |          0 |        193 |        471 |
| dist                                                                                                                                           |         11 |      1,734 |        334 |         11 |      2,079 |
